path,extension,language,lines,binary
RELEASING/release-notes-1-1/media/sip_51.jpg,.jpg,Unknown (.jpg),0,True
RELEASING/release-notes-1-2/README.md,.md,Markdown,83,False
RELEASING/release-notes-1-2/media/pivot_table_v2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-2/media/radar_chart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-2/media/time_series_multichart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-2/media/native_filters.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-2/media/native_filters_temporal.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-2/media/dashboard_rbac.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-3/README.md,.md,Markdown,47,False
RELEASING/release-notes-1-3/media/jinja_templating.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-3/media/export_full_csv.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-3/media/funnel_chart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-3/media/view_query_dashboard.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-3/media/dashboard_native_filters_1.jpg,.jpg,Unknown (.jpg),0,True
RELEASING/release-notes-1-3/media/native_filters_collapsed.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-4/README.md,.md,Markdown,47,False
RELEASING/release-notes-1-4/media/calc.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-4/media/tab_column.jpg,.jpg,Unknown (.jpg),0,True
RELEASING/release-notes-1-4/media/pyinstrument.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-5/README.md,.md,Markdown,111,False
RELEASING/release-notes-1-5/media/permalink.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-5/media/dependent_filters.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-5/media/adhoc_columns.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-5/media/categorical_line.png,.png,Unknown (.png),0,True
RELEASING/release-notes-1-5/media/filter_bar.png,.png,Unknown (.png),0,True
RELEASING/release-notes-2-0/changelog.md,.md,Markdown,483,False
RELEASING/release-notes-2-0/README.md,.md,Markdown,90,False
RELEASING/release-notes-3-1/README.md,.md,Markdown,111,False
RELEASING/release-notes-3-1/media/turkmenistan.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/kazakhstan.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/tajikistan.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/france.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/waterfall_chart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/bubble_chart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/dataset_selector.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/databend.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/doris.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/kyrgyzstan.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/sql_formatting.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/keyboard_shortcuts.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/contour.png,.png,Unknown (.png),0,True
RELEASING/release-notes-3-1/media/uzbekistan.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/README.md,.md,Markdown,101,False
RELEASING/release-notes-4-0/media/alert-modal-2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/tags-1.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/alert-modal-3.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/explore-dnd.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/tags-2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/sunburst.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/alert-modal-1.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/dashboard-dnd-2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-0/media/dashboard-dnd-1.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/README.md,.md,Markdown,96,False
RELEASING/release-notes-4-1/media/tooltips.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/excel_modal_1.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/sankey.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/table_with_time.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/csv_modal_1.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/big_number_chart.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/csv_modal_2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/csv_modal_3.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/columnar_modal_2.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/histogram.png,.png,Unknown (.png),0,True
RELEASING/release-notes-4-1/media/excel_modal_2.png,.png,Unknown (.png),0,True
